room_number,latitude,longitude
2316,42.29299856859223,-83.71411090422428
2316-07,42.29297982695798,-83.71399831413252
2316-06,42.29298090880469,-83.71403784262189
2316-05,42.29298092061808,-83.71407375943801
2316-04,42.2929810862626,-83.71411318527956
2316-03,42.29298064045587,-83.71415054731833
2316-02,42.29297981297763,-83.71418811602067
2316-01,42.29298020640733,-83.71422382625175
2316-08,42.29301957848778,-83.71415640693121
2490,42.29331698328934,-83.71404507163078
2500,42.29330164493499,-83.71413220100193
20S7,42.29331792180339,-83.71408697188645
2498,42.29326937495047,-83.71412807082034
2517,42.29322503075941,-83.71426503224276
2508,42.29330175356262,-83.7142234908783
2504,42.2932897803514,-83.71419232329869
2512,42.29330043077131,-83.71426988139596
2516,42.29330036660839,-83.71431435598747
2518,42.29330093074255,-83.71435478707791
2520,42.29330133929993,-83.7144008573901
2528,42.29330143263436,-83.7144458638512
2532,42.29330113253257,-83.71449108338575
2540,42.29330100500041,-83.71458311809091
2540A,42.29331739635538,-83.71464769224779
2380F,42.29324609845082,-83.71467209966411
2380E,42.29323910759978,-83.71471476954481
2380D,42.29319825999556,-83.71471404886945
2380,42.29321271642933,-83.7146364759691
2380C,42.29316087217766,-83.71470343113079
2380A,42.29314226574194,-83.7146036406284
2380B,42.29312490456822,-83.71470377157425
2370,42.29307155558882,-83.71465188860898
2370-01,42.29309376838884,-83.71470837288983
2370F,42.2930206537969,-83.71471277848582
2370E,42.29302158531964,-83.71467277224465
2370A,42.29302148804829,-83.71461542373214
2370D,42.29298877129178,-83.71468992173507
2320,42.29302382258044,-83.71429197239614
2320A,42.29299344257165,-83.71429113935461
2326,42.29302462057881,-83.71432548729021
2370B,42.29298810897265,-83.71458905699713
2370C,42.29298064841689,-83.71463938740027
2342,42.29303199082829,-83.71448135598169
2505,42.29316272991736,-83.71419566198722
2303,42.29307855419195,-83.7140702689471
2307,42.29307620363603,-83.71410240262149
2329,42.2930795002921,-83.71431540966638
2351A,42.29311958112439,-83.71437826704195
2541B,42.29316207779194,-83.71436760189847
2541A,42.29320749525984,-83.71438374737524
2541,42.2932048455209,-83.71446418610434
2351,42.29311583033694,-83.71446115347095
20S8,42.29331930548577,-83.71502531311253
25C7,42.29330456335281,-83.71507082612898
2V12,42.29328117750762,-83.71498611137282
25C6,42.29327501325943,-83.71506966158302
25C5,42.29326732063011,-83.71488919261974
2V10,42.29317178266208,-83.71475703331535
2V11,42.29328076027899,-83.71479190419618
20S9,42.29346512247307,-83.71476855662743
26C1,42.2935733988162,-83.71475558774567
26C3,42.29341159285622,-83.71473456279291
26V1,42.29341557130629,-83.71467527832479
2601T,42.29341040000336,-83.71470279160243
2603T,42.29341062762482,-83.71464817505056
20S10,42.29348521143763,-83.71468952648181
20E4,42.29346154616198,-83.71469649531845
20E5,42.29341028748389,-83.71420342911375
20S11,42.29340422241653,-83.71413041363149
26V3,42.29339365242251,-83.71411031231453
26C6,42.29335984515758,-83.71413037171119
26C5,42.29338005229938,-83.7143975173219
20E3,42.29328510478268,-83.71404984000978
25C1,42.29322708396598,-83.71410659113994
2505A,42.29316126608406,-83.71406437890505
25V8,42.2931270281,-83.71403954033609
2351B,42.29306910067756,-83.71436279027438
23C3,42.29301095325099,-83.71453593986058
2344T,42.29300770079357,-83.7144889332299
2340T,42.29302547312603,-83.71443871218763
2340A,42.29299564681737,-83.71441119355373
20S5,42.29300738262662,-83.7143460022677
23V7,42.29302690710456,-83.71434465497295
23C1,42.29305108134629,-83.71420309314854
22V6,42.29298747719354,-83.71374641021407
2268T,42.29299129862437,-83.71378661996388
20S4,42.29297760498891,-83.71382146089569
22C4,42.29304889220067,-83.71363765853026
22C3,42.29301775046628,-83.71338179596364
20E2,42.29298713469863,-83.71338008489218
2216T,42.2930106135727,-83.7132848209833
22V5,42.29298671577504,-83.7133229937987
22C1,42.29304931722077,-83.71328161868622
24C2,42.29320438822079,-83.71339020775882
20E1,42.29320482761326,-83.71347022488038
20S2,42.29326322565028,-83.71323594958776
24C5,42.29322568211318,-83.71350797249558
24C6,42.293266524554,-83.71360000309103
20C4,42.29333197034639,-83.71305562368418
20C2,42.29353222810865,-83.71296599064395
21C3,42.29352638189239,-83.7131441796713
20C3,42.29363676635188,-83.71304071080529
2029A,42.29360230531204,-83.71307560656059
2127T,42.29358354976866,-83.7130903835945
21V1,42.29355466936835,-83.7130853577188
2129T,42.29352570654798,-83.71309054069823
20S1,42.29375596055367,-83.71319976749511
21C2,42.29369180914688,-83.71320544173172
2502,42.2932696161152,-83.71437329111406
25C4,42.29323491732157,-83.71455780722728
20S6,42.29317343135253,-83.71454307248635
26C9,42.29356778092019,-83.71443322949116
21C1,42.29375769610327,-83.71315036221736
20C1,42.2937597814422,-83.71296508690672
26C7,42.29349603413795,-83.71416821916783
22C5,42.2931669065556,-83.71382691286811
21C5,42.29321478219424,-83.71314592836032
1234,41.8781,87.6298
